date,symbol,trade_type,entry_time,entry_price,exit_time,exit_price,pnl_percent,exit_reason
2024-02-28,EICHERMOT,sell,2024-02-28 10:35:00,3962.0,2024-02-28 10:45:00,3971.9049999999997,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 10:45:00,3972.25,2024-02-28 11:35:00,3952.38875,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 11:35:00,3934.65,2024-02-28 11:40:00,3944.486625,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 11:40:00,3940.0,2024-02-28 12:15:00,3920.3,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 12:15:00,3916.9,2024-02-28 12:40:00,3926.69225,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 12:40:00,3923.85,2024-02-28 12:55:00,3904.2307499999997,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 12:55:00,3908.1,2024-02-28 13:40:00,3888.5595,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 13:40:00,3884.95,2024-02-28 13:50:00,3894.6623749999994,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 13:50:00,3891.0,2024-02-28 14:15:00,3871.545,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 14:15:00,3873.3,2024-02-28 14:45:00,3882.9832499999998,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 14:45:00,3879.0,2024-02-28 15:15:00,3859.605,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 15:15:00,3862.65,2024-02-28 15:20:00,3862.8,-0.0,Time Exit (15:15)
2024-02-28,EICHERMOT,sell,2024-02-28 15:20:00,3862.8,2024-02-28 15:25:00,3860.0,0.07,Time Exit (15:15)
2024-02-29,EICHERMOT,buy,2024-02-29 09:25:00,3888.0,2024-02-29 09:30:00,3878.28,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,buy,2024-02-29 09:30:00,3879.55,2024-02-29 09:40:00,3869.8511250000006,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 10:10:00,3836.6,2024-02-29 10:20:00,3846.1915,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 10:20:00,3844.9,2024-02-29 10:35:00,3825.6755000000003,0.5,Target Hit
2024-02-29,EICHERMOT,sell,2024-02-29 10:35:00,3819.45,2024-02-29 10:40:00,3828.9986249999997,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 10:40:00,3824.1,2024-02-29 10:55:00,3804.9795,0.5,Target Hit
2024-02-29,EICHERMOT,sell,2024-02-29 10:55:00,3804.3,2024-02-29 11:05:00,3813.81075,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 11:05:00,3809.25,2024-02-29 11:10:00,3818.7731249999997,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 11:10:00,3824.75,2024-02-29 11:15:00,3834.311875,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 11:15:00,3812.4,2024-02-29 12:40:00,3793.338,0.5,Target Hit
2024-02-29,EICHERMOT,sell,2024-02-29 12:40:00,3788.5,2024-02-29 12:50:00,3769.5575,0.5,Target Hit
2024-02-29,EICHERMOT,sell,2024-02-29 12:50:00,3768.9,2024-02-29 13:15:00,3778.3222499999997,-0.25,Stop Loss Hit
